,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,3IniZTntElwHHPs0Jf8JBz,"Piano Trio, K. 442: I. Allegro (Completed by Robert Levin)",spotify:track:3IniZTntElwHHPs0Jf8JBz,0.982,0.354,0.113,0.0217,0.0811,-19.401,0.0398,129.568,0.334,17
1,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,72at5HqsvGZSOON2jQZqEQ,"Piano Trio, K. 442: II. Tempo di Menuetto (Completed by Robert Levin)",spotify:track:72at5HqsvGZSOON2jQZqEQ,0.988,0.36,0.0684,0.0588,0.129,-21.813,0.0416,111.803,0.419,15
2,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,7aMKkr402WOQdrmsWphVRM,"Piano Trio, K. 442: III. Allegro (Completed by Robert Levin)",spotify:track:7aMKkr402WOQdrmsWphVRM,0.983,0.417,0.14,0.0219,0.111,-17.409,0.039,125.022,0.567,15
3,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,49160XUV2Q3Ij9lLZbmUua,"Piano Trio, K. 496: I. Allegro",spotify:track:49160XUV2Q3Ij9lLZbmUua,0.981,0.403,0.107,0.0519,0.209,-20.608,0.0394,126.419,0.414,14
4,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,7syI9SwZpLMPLJcJUJUtu0,"Piano Trio, K. 496: II. Andante",spotify:track:7syI9SwZpLMPLJcJUJUtu0,0.984,0.31,0.056,0.0399,0.215,-23.229,0.0447,109.03,0.327,14
5,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,61Nf7xSw4JwIEdK6gBZZhV,"Piano Trio, K. 496: III. Allegretto",spotify:track:61Nf7xSw4JwIEdK6gBZZhV,0.98,0.383,0.061,0.00991,0.137,-21.669,0.0405,135.005,0.466,13
6,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,1pD43JeK85sXDSRZSxlMqI,6 Partitas for Violin Solo: 1. Heart,spotify:track:1pD43JeK85sXDSRZSxlMqI,0.986,0.252,0.0699,0.00821,0.164,-22.023,0.0504,83.83,0.067,15
7,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,1Rn6lgQ4aejNDGwOSuYZdz,6 Partitas for Violin Solo: 2. Immensity,spotify:track:1Rn6lgQ4aejNDGwOSuYZdz,0.99,0.332,0.104,0.0102,0.286,-19.556,0.0498,138.285,0.13,12
8,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,5VflzhTEtklcPSSFFvF6ZT,6 Partitas for Violin Solo: 3. Love,spotify:track:5VflzhTEtklcPSSFFvF6ZT,0.99,0.229,0.056,0.00888,0.139,-21.235,0.0514,78.424,0.0731,12
9,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,7mvudT4Ec47vLDWjkKlk3M,6 Partitas for Violin Solo: 4. Art,spotify:track:7mvudT4Ec47vLDWjkKlk3M,0.989,0.288,0.0772,0.0228,0.343,-21.718,0.0535,114.643,0.0751,11
10,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,7sYRVKX5ZApCiUVUACIBuX,6 Partitas for Violin Solo: 5. Reflective,spotify:track:7sYRVKX5ZApCiUVUACIBuX,0.987,0.152,0.0515,0.0108,0.15,-23.958,0.0536,171.72,0.0397,11
11,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,6e4TSmYxmcPJ4DMWYHfccQ,6 Partitas for Violin Solo: 6. You,spotify:track:6e4TSmYxmcPJ4DMWYHfccQ,0.99,0.288,0.101,0.00248,0.304,-20.711,0.0607,86.401,0.126,10
12,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,2lh5pqyvcUnXpsGRzhm737,"Sonata for Violin Solo No. 1 in G Minor, BWV 1001: 1. Adagio",spotify:track:2lh5pqyvcUnXpsGRzhm737,0.989,0.159,0.0894,0.0149,0.685,-20.277,0.0463,84.247,0.184,32
13,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,1Xkup8WkrOfFVPZ4r7Zkhf,"Sonata for Violin Solo No. 1 in G Minor, BWV 1001: 2. Fuga (Allegro)",spotify:track:1Xkup8WkrOfFVPZ4r7Zkhf,0.99,0.382,0.151,0.000124,0.122,-16.028,0.0569,115.943,0.713,29
14,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,09XyQXLiimTDTBt2KWD1sk,"Sonata for Violin Solo No. 1 in G Minor, BWV 1001: 3. Siciliana",spotify:track:09XyQXLiimTDTBt2KWD1sk,0.992,0.178,0.0817,0.000215,0.345,-19.69,0.0485,84.749,0.314,26
15,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,0HB9QK0Eraem2k4JmR6ZWs,"Sonata for Violin Solo No. 1 in G Minor, BWV 1001: 4. Presto",spotify:track:0HB9QK0Eraem2k4JmR6ZWs,0.991,0.467,0.255,0.000978,0.221,-17.66,0.0566,125.297,0.915,30
16,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,2BF0UcUOosThifZEVYKCnG,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 1. Allemande",spotify:track:2BF0UcUOosThifZEVYKCnG,0.984,0.22,0.0813,0.205,0.145,-21.945,0.0507,92.623,0.298,26
17,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,7dBPM9WICPXz4GVITMlwEA,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 2. Double",spotify:track:7dBPM9WICPXz4GVITMlwEA,0.988,0.278,0.0778,0.000153,0.178,-20.082,0.0643,97.535,0.597,25
18,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,7o6P0HbeG4YZfTeaWk0m2C,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 3. Courante",spotify:track:7o6P0HbeG4YZfTeaWk0m2C,0.988,0.38,0.122,0.000651,0.132,-18.014,0.0597,130.206,0.891,25
19,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,03Wo8VjWahRYSvfRSPhe9U,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 4. Double (Presto)",spotify:track:03Wo8VjWahRYSvfRSPhe9U,0.973,0.456,0.456,0.353,0.186,-16.055,0.0535,144.489,0.974,28
20,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,699Tx0stxKiuY5zyPG5JYz,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 5. Sarabande",spotify:track:699Tx0stxKiuY5zyPG5JYz,0.985,0.177,0.0995,0.153,0.108,-18.737,0.0439,90.491,0.174,24
21,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),10,6MdMgILi0IOLnCBIJqU0Lw,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 6. Double",spotify:track:6MdMgILi0IOLnCBIJqU0Lw,0.986,0.33,0.0839,0.000752,0.132,-21.13,0.062,88.917,0.408,24
22,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),11,3EO7inONQPTMV7uQDPSM3u,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 7. Tempo di Bourreé",spotify:track:3EO7inONQPTMV7uQDPSM3u,0.987,0.491,0.0979,0.121,0.0932,-18.411,0.0464,79.272,0.807,24
23,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),12,6EivblzVtQxwJsRQ2ByYao,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 8. Double",spotify:track:6EivblzVtQxwJsRQ2ByYao,0.987,0.494,0.156,0.000141,0.112,-19.113,0.0937,86.886,0.963,23
24,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),13,0KDHY2Gyf0YVp29vSBoKoP,"Sonata for Violin Solo No. 2 in A Minor, BWV 1003: 1. Grave",spotify:track:0KDHY2Gyf0YVp29vSBoKoP,0.989,0.169,0.11,0.146,0.184,-21.012,0.0453,86.504,0.191,24
25,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),14,4sofWAXuZUHMFUkxoIVkLU,"Sonata for Violin Solo No. 2 in A Minor, BWV 1003: 2. Fuga",spotify:track:4sofWAXuZUHMFUkxoIVkLU,0.993,0.297,0.12,0.00431,0.0712,-16.387,0.0569,72.77,0.608,26
26,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),15,5y12x8ztVdrNFVyRLk16i7,"Sonata for Violin Solo No. 2 in A Minor, BWV 1003: 3. Andante",spotify:track:5y12x8ztVdrNFVyRLk16i7,0.983,0.184,0.0561,0.0104,0.103,-22.984,0.0477,100.156,0.102,25
27,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),16,5LXkVuIQsR33qnSDDZ6giG,"Sonata for Violin Solo No. 2 in A Minor, BWV 1003: 4. Allegro",spotify:track:5LXkVuIQsR33qnSDDZ6giG,0.992,0.5,0.162,0.00698,0.0502,-17.441,0.0731,83.257,0.964,26
28,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,6rqKG6ObEI6peykoZsBagF,"Sonata For Piano And Violin In G Major, K.379: 1a. Adagio - Live",spotify:track:6rqKG6ObEI6peykoZsBagF,0.978,0.228,0.0502,0.128,0.158,-24.0,0.0435,56.145,0.202,15
29,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,3waVWZ055Quyww68b3kjVq,"Sonata For Piano And Violin In G Major, K.379: 1b. Allegro - Live",spotify:track:3waVWZ055Quyww68b3kjVq,0.966,0.409,0.163,0.0373,0.147,-18.168,0.0449,85.969,0.299,14
30,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,1szeYM9eEC4uLfAbkea2k5,"Sonata For Piano And Violin In G Major, K.379: 2. Tema (Andantino cantabile) – Var. 1-5 – Tema (Allegretto) - Live",spotify:track:1szeYM9eEC4uLfAbkea2k5,0.983,0.377,0.0797,0.0165,0.134,-23.123,0.0427,139.492,0.417,13
31,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,7jf6Y3p60ByFMgCVPvRYaQ,Blue Curve Of The Earth - Live,spotify:track:7jf6Y3p60ByFMgCVPvRYaQ,0.94,0.286,0.135,0.000496,0.0613,-20.503,0.0631,91.663,0.141,13
32,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,5XOHp6vwsTKz4r4oKPXzZf,Mercy - Live,spotify:track:5XOHp6vwsTKz4r4oKPXzZf,0.916,0.211,0.0838,0.41,0.102,-20.882,0.0398,90.249,0.0404,19
33,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,5QM0Ln519QAvr9PaNMRlgn,"Double Concerto For 2 Violins, Strings, And Continuo In D Minor, BWV 1043: 2. Largo ma non tanto",spotify:track:5QM0Ln519QAvr9PaNMRlgn,0.805,0.143,0.166,0.0277,0.214,-18.472,0.0487,84.561,0.207,12
34,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,5V77TAVDVy8kezsWWMh1UH,The Lark Ascending,spotify:track:5V77TAVDVy8kezsWWMh1UH,0.833,0.147,0.127,0.474,0.108,-26.207,0.0572,97.427,0.0399,15
35,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,1kX48fB3HxkY0v8G9buntI,"Sonata for Piano and Violin in A, K.526: 3. Presto",spotify:track:1kX48fB3HxkY0v8G9buntI,0.966,0.41,0.22,0.066,0.0971,-21.895,0.0314,135.865,0.747,10
36,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,61wQUPj5NnyWZF83T70yz2,"Violin Concerto No.1 in D, Op.6: 3. Rondo (Allegro spirituoso)",spotify:track:61wQUPj5NnyWZF83T70yz2,0.838,0.449,0.0925,0.396,0.0751,-22.392,0.0435,98.59,0.278,13
40,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),13,0kxgwacHEKDWn8y3eC2X4j,Sonata for Violin and Piano No.1: 1. Andante - Allegro vivace,spotify:track:0kxgwacHEKDWn8y3eC2X4j,0.927,0.304,0.0283,0.0388,0.0818,-28.658,0.0428,122.353,0.118,7
52,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,7vKLGaWvYZEs0foJJPbzL9,"Violin Concerto No. 5 in A Major, K. 219 ""Turkish"": 1. Allegro aperto",spotify:track:7vKLGaWvYZEs0foJJPbzL9,0.947,0.364,0.0816,0.247,0.114,-23.028,0.0422,126.335,0.309,26
53,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,4igWunOx5mdWMQKwWubVdd,"Violin Concerto No. 5 in A Major, K. 219 ""Turkish"": 2. Adagio",spotify:track:4igWunOx5mdWMQKwWubVdd,0.944,0.243,0.0363,0.522,0.0982,-26.314,0.0526,114.917,0.0769,22
54,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,5UA4wgE9BzWYw3pllKCsO2,"Violin Concerto No. 5 in A Major, K. 219 ""Turkish"": 3. Rondeau (Tempo di minuetto)",spotify:track:5UA4wgE9BzWYw3pllKCsO2,0.961,0.369,0.0828,0.577,0.0757,-21.871,0.044,132.805,0.291,23
55,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,5XbsmbzGYvphfhFaaagAfv,"Violin Concerto No. 4 in D Minor, Op. 31: 1. Andante - Moderato",spotify:track:5XbsmbzGYvphfhFaaagAfv,0.93,0.189,0.0645,0.298,0.0668,-22.855,0.0448,75.134,0.0416,18
56,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,4GrYHdBJEQh9R5Fox3brLd,"Violin Concerto No. 4 in D Minor, Op. 31: 2. Adagio religioso",spotify:track:4GrYHdBJEQh9R5Fox3brLd,0.884,0.0941,0.0957,0.256,0.103,-24.472,0.0469,66.019,0.0375,40
57,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,3gDj2xykuvUnFWneoh0Huh,"Violin Concerto No. 4 in D Minor, Op. 31: 3. Scherzo. Vivace - Trio. Meno mosso",spotify:track:3gDj2xykuvUnFWneoh0Huh,0.864,0.446,0.121,0.0381,0.128,-20.947,0.0443,135.162,0.323,16
58,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,0f7FjQ4oUCWiFWkcJhZQzk,"Violin Concerto No. 4 in D Minor, Op. 31: 4. Finale marziale: Andante - Allegro",spotify:track:0f7FjQ4oUCWiFWkcJhZQzk,0.895,0.298,0.187,0.211,0.0667,-18.745,0.0507,78.235,0.177,15
59,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,2mgfsijzzWzY9DahDRYn0K,"Hilary Hahn And Paavo Järvi In Conversation, Pt. 1 - Bonus Track",spotify:track:2mgfsijzzWzY9DahDRYn0K,0.724,0.72,0.133,0.0,0.301,-26.538,0.917,63.334,0.448,9
60,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,2x7UeapHdeOwYPKpQKuyO1,"Hilary Hahn And Paavo Järvi In Conversation, Pt. 2 - Bonus Track",spotify:track:2x7UeapHdeOwYPKpQKuyO1,0.746,0.557,0.104,0.0,0.507,-27.026,0.755,73.665,0.512,7
61,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,6pfI2vG56fp02zaUWEH84M,Impulse,spotify:track:6pfI2vG56fp02zaUWEH84M,0.907,0.279,0.187,0.211,0.0685,-21.331,0.0656,80.957,0.0386,9
62,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,3mB2XOx6kDX7ryO8LmCyIx,Bifu,spotify:track:3mB2XOx6kDX7ryO8LmCyIx,0.979,0.081,0.039,0.466,0.0752,-26.74,0.0477,174.489,0.0268,21
63,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,0wZFkQEhfgnocWcTQF7G8h,When A Tiger Meets A Rosa Rugosa,spotify:track:0wZFkQEhfgnocWcTQF7G8h,0.931,0.198,0.0784,0.0253,0.157,-24.042,0.0528,84.837,0.0376,8
64,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,1s8QldGAhEcobxBdtjUhPf,light moving,spotify:track:1s8QldGAhEcobxBdtjUhPf,0.95,0.657,0.102,0.0,0.263,-30.666,0.0743,101.978,0.965,31
65,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,7zBIz21UuW4F7FLz3Zm6rq,Solitude d’automne,spotify:track:7zBIz21UuW4F7FLz3Zm6rq,0.714,0.192,0.0158,0.101,0.142,-29.163,0.0393,77.156,0.0343,6
67,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,7o8XPVHqgNhKlROAGqaR5Y,Third Sigh,spotify:track:7o8XPVHqgNhKlROAGqaR5Y,0.964,0.22,0.112,0.159,0.0944,-21.702,0.051,89.275,0.0363,6
68,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,1hruEOurmyAo8NkvYa6A9r,Memory Games,spotify:track:1hruEOurmyAo8NkvYa6A9r,0.926,0.483,0.166,0.454,0.0888,-21.593,0.0468,131.143,0.127,6
72,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),12,1qjNIwCxEtKJGtf8nrSmoJ,Torua,spotify:track:1qjNIwCxEtKJGtf8nrSmoJ,0.943,0.281,0.0635,0.00173,0.0859,-24.646,0.0443,94.765,0.0329,5
73,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),13,1HUB1G1uFPGIQROlS4ng7F,shade,spotify:track:1HUB1G1uFPGIQROlS4ng7F,0.934,0.36,0.0941,0.0102,0.094,-24.903,0.0446,90.859,0.0501,5
74,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),14,32wWz1yRz5uRqkBP0aco6O,Echo Dash,spotify:track:32wWz1yRz5uRqkBP0aco6O,0.956,0.454,0.344,0.00281,0.127,-18.747,0.0426,120.987,0.884,6
76,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),16,7JuXpfsZC3dLj5QbUG8MvZ,The Angry Birds of Kauai,spotify:track:7JuXpfsZC3dLj5QbUG8MvZ,0.943,0.442,0.181,0.256,0.1,-20.853,0.046,141.035,0.26,5
77,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),17,1QVmWX2eaatGXjm7CWcEgS,Hilary’s Hoedown,spotify:track:1QVmWX2eaatGXjm7CWcEgS,0.974,0.427,0.238,0.531,0.0811,-20.436,0.0519,158.024,0.397,5
78,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),18,2aPb0E0qzjF4lhKCrEYUr9,Two Pieces,spotify:track:2aPb0E0qzjF4lhKCrEYUr9,0.984,0.248,0.00935,0.022,0.08,-33.132,0.0486,68.587,0.0393,10
