,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
193,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,2JrFE1dXKTtjPmyR7OCf3z,"Violin Concerto In D Minor, Op.47: 2. Adagio di molto",spotify:track:2JrFE1dXKTtjPmyR7OCf3z,0.928,0.156,0.147,0.713,0.148,-20.957,0.0451,146.073,0.0369,24
194,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,15Uw5ljmPJ81bf5wEPSKqa,"Violin Concerto In D Minor, Op.47: 3. Allegro, ma non tanto",spotify:track:15Uw5ljmPJ81bf5wEPSKqa,0.764,0.398,0.256,0.199,0.15,-19.053,0.0418,111.743,0.294,30
195,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,3f1FdgE36Gp5KmcaLmXvK2,"""Lieber Leser, willkommen in meinem Online-Tagebuch...""",spotify:track:3f1FdgE36Gp5KmcaLmXvK2,0.838,0.427,0.162,0.0053,0.291,-21.3,0.134,92.094,0.588,0
196,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,1CnnsR1BIx5rhehWTFcdPw,"""Hilary Hahn im Finale aus dem Violinkonzert von Felix Mendelssohn...""",spotify:track:1CnnsR1BIx5rhehWTFcdPw,0.616,0.797,0.0702,0.0,0.149,-24.988,0.851,52.879,0.42,0
197,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,61Lx4LbpQWtMl6W7vDN2Ig,"""Musikgeschichte ist also wie ein Schneeball""",spotify:track:61Lx4LbpQWtMl6W7vDN2Ig,0.676,0.629,0.0811,0.0,0.302,-24.968,0.912,57.673,0.599,0
198,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,1KmPqQF2r9qkDz8AHul86T,"""Nochmals alles überdenken...""",spotify:track:1KmPqQF2r9qkDz8AHul86T,0.907,0.489,0.108,0.000717,0.235,-21.29,0.131,126.703,0.409,0
199,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,0xOlGZz5ZtzDuNMyWmcS0A,"""Lieber Leser, ich bin in Japan...""",spotify:track:0xOlGZz5ZtzDuNMyWmcS0A,0.456,0.705,0.205,0.0,0.194,-23.222,0.944,131.397,0.597,0
200,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,3mIpp7VaJDEj2UXruqKM8A,"""Was es in einem Orchester zu beobachten gibt...""",spotify:track:3mIpp7VaJDEj2UXruqKM8A,0.636,0.708,0.111,0.0,0.131,-25.279,0.904,111.531,0.491,0
201,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,7dtCgOvSdIqNdw4ispwGrQ,"""Tanzen, Yoga und Sportrudern...""",spotify:track:7dtCgOvSdIqNdw4ispwGrQ,0.85,0.515,0.235,0.0307,0.412,-19.63,0.072,108.05,0.668,0
202,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,117JhlAKCEDZOclPXTpgOO,"""Wie man Zeit in einem Hotelzimmer allein verbringen kann...""",spotify:track:117JhlAKCEDZOclPXTpgOO,0.848,0.488,0.216,2.13e-05,0.307,-16.663,0.152,107.831,0.625,0
203,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,2PyOHEZ0vTLa9kcsPJlGO4,"""Ihre Bach-Konzerte...""",spotify:track:2PyOHEZ0vTLa9kcsPJlGO4,0.771,0.63,0.105,0.0,0.556,-23.223,0.933,169.505,0.584,0
204,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),10,235N8B124fUSZP3SXNUzgf,"""Jascha Brodsky mit seinem überdimensionierten Übungsdämpfer...""",spotify:track:235N8B124fUSZP3SXNUzgf,0.643,0.541,0.183,0.000112,0.177,-22.92,0.325,136.618,0.49,0
205,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),11,4ETBZXFlhEJQmNHafitPZU,"""Lieber Leser, demnächst kommt mein erster Kleber heraus...""",spotify:track:4ETBZXFlhEJQmNHafitPZU,0.837,0.505,0.0837,6.27e-05,0.18,-21.857,0.117,123.632,0.413,0
206,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,0zC0WOgmMuBI6rgcFA2uFY,II. Scherzo. Allegro non troppo,spotify:track:0zC0WOgmMuBI6rgcFA2uFY,0.87,0.493,0.411,0.723,0.068,-12.392,0.0529,129.233,0.619,0
207,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,01F5GX6as5N8oZ5BB9LxsL,II. Larghetto,spotify:track:01F5GX6as5N8oZ5BB9LxsL,0.908,0.146,0.0955,0.346,0.141,-20.859,0.0488,84.971,0.0381,2
208,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,4EN8wecX3TPRD7tpcyKb8K,II. Aristophanes. Allegretto,spotify:track:4EN8wecX3TPRD7tpcyKb8K,0.897,0.253,0.11,0.272,0.117,-17.546,0.0405,102.058,0.0638,0
209,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,223v6Sjsy23V7HE427c4xZ,VI. Bourrée,spotify:track:223v6Sjsy23V7HE427c4xZ,0.991,0.463,0.173,0.0768,0.106,-17.202,0.0612,93.098,0.964,0
210,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,6nJD4fV9BlffnaqoupOLG0,"III. Allegro giocoso, ma non troppo vivace",spotify:track:6nJD4fV9BlffnaqoupOLG0,0.898,0.371,0.359,0.0375,0.187,-12.154,0.0391,93.467,0.434,0
211,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,4a6mRpG95B47UmYU19Y62Q,II. Aria I,spotify:track:4a6mRpG95B47UmYU19Y62Q,0.935,0.263,0.204,0.102,0.137,-18.274,0.0427,98.791,0.103,0
212,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,5aNZzLmlrqEK6FXXUcNHL6,IV. Allegro assai,spotify:track:5aNZzLmlrqEK6FXXUcNHL6,0.99,0.415,0.219,0.865,0.0867,-17.112,0.0451,139.665,0.919,0
213,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,6RG7w36RmEoZLugM2MuvrQ,II. Andante,spotify:track:6RG7w36RmEoZLugM2MuvrQ,0.897,0.158,0.142,0.567,0.138,-19.267,0.0436,100.878,0.0336,0
214,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,7LCAGUZdhS0GtwIOLw38pN,V. Ciaccona,spotify:track:7LCAGUZdhS0GtwIOLw38pN,0.993,0.231,0.09,0.0851,0.0824,-19.115,0.0439,88.647,0.348,0
215,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,7GBilGWup8BqC1RUQpWOJq,Ich bin Hilary,spotify:track:7GBilGWup8BqC1RUQpWOJq,0.801,0.369,0.12,2.38e-06,0.236,-23.007,0.173,167.8,0.32,1
216,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,6ogE5CDB9yp0iWWBRW21Yx,Geige spielen,spotify:track:6ogE5CDB9yp0iWWBRW21Yx,0.875,0.71,0.202,0.0,0.46,-21.904,0.944,115.0,0.505,0
217,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,0CjLm4cnw2oNtHVckFiKZi,Wirbel und Saiten,spotify:track:0CjLm4cnw2oNtHVckFiKZi,0.837,0.706,0.242,0.0,0.082,-20.102,0.899,130.517,0.387,0
218,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,2CZpTRJtIuiHQBdRM13xho,Die Geige im Orchester,spotify:track:2CZpTRJtIuiHQBdRM13xho,0.846,0.474,0.155,0.000297,0.258,-16.232,0.528,150.778,0.36,0
219,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,0L0RbIpvntiQIZxjpphPvd,Die Geige in der Kammermusik,spotify:track:0L0RbIpvntiQIZxjpphPvd,0.946,0.648,0.103,0.000586,0.116,-22.644,0.424,82.632,0.89,0
220,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,3cohIO4SPqkCeL6fTP4YOA,Die Geige allein,spotify:track:3cohIO4SPqkCeL6fTP4YOA,0.982,0.663,0.232,0.087,0.129,-16.557,0.429,56.167,0.972,0
221,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,7kqf0lf6oASey8Ms3ytg94,Die Geige als Soloinstrument eines Konzerts,spotify:track:7kqf0lf6oASey8Ms3ytg94,0.868,0.628,0.302,8.54e-06,0.162,-15.587,0.162,106.798,0.883,0
222,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,4WY8Q7RYjUXCvBq8SFZspw,Die Geige als Vogel,spotify:track:4WY8Q7RYjUXCvBq8SFZspw,0.887,0.444,0.117,1.27e-05,0.162,-25.721,0.228,138.598,0.344,0
223,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,3kXCat7bKwUsABoQLQaady,Was denkst Du beim Spielen?,spotify:track:3kXCat7bKwUsABoQLQaady,0.797,0.468,0.125,1.09e-06,0.258,-21.559,0.531,84.805,0.288,0
224,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),10,6FLsGmL2Iz3pEPnWankcwm,Du kannst es auch spielen.,spotify:track:6FLsGmL2Iz3pEPnWankcwm,0.949,0.441,0.167,0.00758,0.354,-17.431,0.112,107.577,0.653,0
225,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),11,7CfYtWUPhtoDHsgVcnSBsk,Hast Du Lust selbst zu komponieren?,spotify:track:7CfYtWUPhtoDHsgVcnSBsk,0.792,0.71,0.139,0.0,0.321,-24.696,0.955,80.016,0.422,1
226,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),12,1bmYRy3AAG52hfyfzxz7LD,Mozart für Geige und Klavier,spotify:track:1bmYRy3AAG52hfyfzxz7LD,0.951,0.521,0.197,0.0019,0.329,-19.972,0.0869,144.069,0.641,0
227,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),13,2KDBLuRDU1yJHZ8y4PQa4M,Wie lange hast Du denn so geübt?,spotify:track:2KDBLuRDU1yJHZ8y4PQa4M,0.894,0.646,0.193,0.0,0.14,-19.097,0.868,91.583,0.149,0
228,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),14,6Xktdr4sO2lT9kpTn7jKWQ,Bühnenerfahrungen,spotify:track:6Xktdr4sO2lT9kpTn7jKWQ,0.887,0.605,0.168,0.0,0.384,-22.728,0.941,72.419,0.344,1
229,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),15,7sV5oX435EnGYlKMv8X9zf,"Staccato, Pizzicato, Vibrato, Trillern .....",spotify:track:7sV5oX435EnGYlKMv8X9zf,0.864,0.693,0.147,7.21e-06,0.124,-19.89,0.843,135.683,0.368,0
230,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),16,6fEa8DXdiVYOpUgH7Uc3yT,Paganinis Musik braucht virtuose Technik,spotify:track:6fEa8DXdiVYOpUgH7Uc3yT,0.921,0.478,0.151,0.000514,0.531,-18.597,0.362,88.174,0.612,0
231,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),17,50vBm12jp3ZpILvkFGFZi4,"Der ""Teufelsgeiger""",spotify:track:50vBm12jp3ZpILvkFGFZi4,0.871,0.657,0.106,0.0,0.206,-22.12,0.94,66.988,0.205,1
232,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),18,1kA8Gfm9mtz6sK1ZtwXelX,"Die ""Kanone"" - jedes Instrument ist einzigartig",spotify:track:1kA8Gfm9mtz6sK1ZtwXelX,0.598,0.697,0.147,0.0,0.125,-23.195,0.905,106.185,0.483,0
233,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),19,7l7k1cOVbxNtvhUP3JwrKZ,"Wie ist es, wenn Du Dich selbst im Laden auf Deiner CD siehst?",spotify:track:7l7k1cOVbxNtvhUP3JwrKZ,0.945,0.494,0.1,0.00732,0.0845,-22.414,0.158,103.834,0.36,0
234,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,7wlcTdUUbYcquzzJZPyrGF,_: Paganini: Violin Concerto No.1 in D Op.6 - 1. Allegro maestoso,spotify:track:7wlcTdUUbYcquzzJZPyrGF,0.891,0.389,0.0952,0.326,0.0854,-22.217,0.0473,123.359,0.192,8
235,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,3GMwdzBDnX68vyLpgsDFqU,_: Paganini: Violin Concerto No.1 in D Op.6 - 2. Adagio,spotify:track:3GMwdzBDnX68vyLpgsDFqU,0.799,0.175,0.0849,0.062,0.144,-25.259,0.0521,83.311,0.0529,4
236,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,7lCJmUamjNpQLQuWrvCCYJ,_: Paganini: Violin Concerto No.1 in D Op.6 - 3. Rondo (Allegro spirituoso),spotify:track:7lCJmUamjNpQLQuWrvCCYJ,0.822,0.451,0.0929,0.32,0.0749,-22.37,0.0453,99.344,0.269,5
237,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,5YCzh3RvWCBN5Ud3ywmbtj,_: Spohr: Violin Concerto No.8 in A minor Op.47 - 1. Recitative - Allegro molto,spotify:track:5YCzh3RvWCBN5Ud3ywmbtj,0.918,0.264,0.0436,0.22,0.193,-24.153,0.046,130.676,0.0891,3
238,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,65dRCZnWKA0215Zglyhm2o,_: Spohr: Violin Concerto No.8 in A minor Op.47 - 2. Adagio - Andante,spotify:track:65dRCZnWKA0215Zglyhm2o,0.823,0.16,0.0414,0.0248,0.0705,-28.447,0.0478,90.789,0.0769,3
239,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,6AG5oXvGWMnpT2GMEwcmki,_: Spohr: Violin Concerto No.8 in A minor Op.47 - 3. Allegro moderato,spotify:track:6AG5oXvGWMnpT2GMEwcmki,0.906,0.373,0.103,0.0427,0.0783,-22.125,0.0437,123.793,0.276,3
240,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,2Y4fhaPNxD1HXG18F82i33,_: Hilary Hahn's approach to this recording and her interpretation of these,spotify:track:2Y4fhaPNxD1HXG18F82i33,0.591,0.66,0.0579,0.0,0.388,-28.404,0.877,95.248,0.353,2
241,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,5ZZf8KujXg1a4HIoqyfYXM,_: The operatic aspect of these pieces,spotify:track:5ZZf8KujXg1a4HIoqyfYXM,0.646,0.617,0.0665,0.0,0.309,-28.101,0.832,95.286,0.444,2
242,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,52iv3mpLIBh0saqdrn3mq9,_: The Spohr is undeservedly less well-known,spotify:track:52iv3mpLIBh0saqdrn3mq9,0.739,0.678,0.0446,0.0,0.145,-28.397,0.877,121.681,0.387,2
243,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),10,77WvUI0srT1EeSZeeCrxix,_: Preparing these pieces for the recording,spotify:track:77WvUI0srT1EeSZeeCrxix,0.765,0.707,0.0693,0.0,0.323,-27.757,0.597,45.005,0.5,2
244,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),11,3aOSKZNs4cpc94l8uvo1ZV,_: Performing these pieces on stage,spotify:track:3aOSKZNs4cpc94l8uvo1ZV,0.598,0.539,0.0683,0.0,0.257,-29.168,0.936,67.478,0.332,2
245,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,4Lcz4pTtPTcfuHG1OveEVT,_: Mozart: Violin Sonata in F K376 - 1. Allegro,spotify:track:4Lcz4pTtPTcfuHG1OveEVT,0.961,0.401,0.156,0.0159,0.0988,-21.228,0.041,142.638,0.533,6
246,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,3vG07ad3fdshsUAOsAUKvv,_: Mozart: Violin Sonata in F K376 - 2. Andante,spotify:track:3vG07ad3fdshsUAOsAUKvv,0.952,0.282,0.104,0.0227,0.126,-24.262,0.0388,92.627,0.336,5
247,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,5FA6rG7zM3LQ3h7GLCmVLa,_: Mozart: Violin Sonata in F K376 - 3. Rondo (Allegretto grazioso),spotify:track:5FA6rG7zM3LQ3h7GLCmVLa,0.968,0.446,0.161,0.0862,0.148,-20.953,0.0426,144.097,0.422,5
248,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,1JpE87FTIv7XINKXWAkMWh,_: Mozart: Violin Sonata in G K301 - 1. Allegro con spirito,spotify:track:1JpE87FTIv7XINKXWAkMWh,0.956,0.418,0.156,0.00184,0.188,-20.242,0.0368,134.661,0.535,5
249,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,49Z17p8g6pV3XjkmPDgDHK,_: Mozart: Violin Sonata in G K301 - 2. Allegro,spotify:track:49Z17p8g6pV3XjkmPDgDHK,0.975,0.389,0.0903,0.00229,0.0885,-22.397,0.0369,93.997,0.585,5
250,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,64cr3K9Ea2tiQouAxUG3al,_: Mozart: Violin Sonata in E minor K304 - 1. Allegro,spotify:track:64cr3K9Ea2tiQouAxUG3al,0.974,0.382,0.158,0.516,0.186,-20.189,0.0416,86.059,0.443,6
251,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,7akamBe9W3n2pzHf0nhidc,_: Mozart: Violin Sonata in E minor K304 - 2. Tempo di minuetto,spotify:track:7akamBe9W3n2pzHf0nhidc,0.968,0.35,0.118,0.0607,0.118,-21.192,0.0415,124.135,0.255,7
252,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,3ND8iufN4EBZRTTUWQmjpu,_: Mozart: Violin Sonata in A K526 - 1. Allegro molto,spotify:track:3ND8iufN4EBZRTTUWQmjpu,0.97,0.421,0.183,0.00278,0.108,-21.045,0.0347,149.819,0.717,5
253,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,2PPu5CHylyW8Mazlmsh0nE,_: Mozart: Violin Sonata in A K526 - 2. Andante,spotify:track:2PPu5CHylyW8Mazlmsh0nE,0.963,0.238,0.0403,0.00462,0.0855,-27.898,0.0382,101.484,0.126,5
254,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),10,2yHQCl43aHdTtssqv2mhea,_: Mozart: Violin Sonata in A K526 - 3. Presto,spotify:track:2yHQCl43aHdTtssqv2mhea,0.967,0.414,0.261,0.0729,0.115,-19.797,0.0312,135.844,0.76,4
255,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),11,3WeQUb9g910nrxT9o6EvCd,Hilary Hahn talks about the Mozart Violin Sonatas (part 1),spotify:track:3WeQUb9g910nrxT9o6EvCd,0.66,0.715,0.0972,0.0,0.243,-30.359,0.932,119.879,0.425,4
256,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),12,5R556ktCV2Q5BYdslkHM0A,Hilary Hahn talks about the Mozart Violin Sonatas (part 2),spotify:track:5R556ktCV2Q5BYdslkHM0A,0.873,0.587,0.0812,2.02e-06,0.113,-26.211,0.531,69.466,0.366,5
